,assist_percentage,assists,block_percentage,blocks,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,points,points_produced,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
assist_percentage,1.0,0.4163810394383923,-0.1782747961738232,-0.06956789138936062,0.18807456278790932,0.1181350129857813,-0.05744511364417967,0.11100886371416986,0.1596116083465843,0.012819199889190242,0.20542727321700238,-0.02327546608850987,0.183607876006164,-0.012292177518514837,0.19376174013172984,0.18476935941101566,0.21275181382324812,0.08303811081217952,0.1784670380370478,0.18464237710315848,0.18605020225479843,-0.17681488089289168,-0.032764637151138,0.14689817529751828,0.10501620581234576,0.22364417569520922,0.19492237952812894,0.22191319210266627,0.1695689966879847,0.26392550158961675,0.06642640159149443,0.1760124269515906,0.1313680659462699,0.16609289934937543,-0.13199890113518153,0.07087478262441188,0.0539813563873047,0.07372800506497802,0.2761016234988525,0.1893777739258603,-0.051294644303357624,0.1599734866564873,0.19877664663289502,-0.29507136713850624,0.16108917948337523,0.18118738339439866
assists,0.4163810394383923,1.0,-0.1261423647188956,0.23992936321752528,0.1635182581955282,0.043153033824551816,-0.06665170062965847,0.6925235947465568,0.745198036472726,0.05735791560875037,0.8199071939665378,0.029896801379325228,0.7896824984753521,-0.03996040331324381,0.7624175914521537,0.2086181455517611,0.7813636965100288,0.703935164826707,0.7871023055165925,0.8403973090231246,0.19800495771465404,-0.17598960604797448,0.3947692501771018,0.686620057120256,0.7031789965552991,0.15780284130331823,0.8076621094214813,0.8461778218092573,0.08749394347590185,0.8634860813129402,0.03364692093135244,0.7077807176861246,0.13325973745211517,0.6832782219979531,-0.1382458995743177,0.6256287963184354,0.09564028754197759,-0.009806332699068977,0.8785691056594486,0.7522912928037723,-0.004038836830133032,0.7039992985052607,0.15006077539926987,-0.16828691131999896,0.7527076920882616,0.1395829546980817
block_percentage,-0.1782747961738232,-0.1261423647188956,1.0,0.44125917565718725,0.12260044762232192,0.22136621097474934,0.2447792383695094,0.07616587617583631,0.06380277987507993,0.14772805178193238,-0.053570681959030475,0.28059409372888605,-0.007000701731312748,0.15520161101248603,0.015541863988540737,-0.2163416365849903,-0.01812450012409207,0.024494315687453715,-0.0034438742134167083,-0.034730463865379334,0.03313799809212983,0.2966319633517067,0.2065877195036883,0.01964250488402874,0.07773898941911786,0.17666157245802838,-0.03115577211169724,-0.030790857849562998,-0.07298820054292764,-0.06998879632647406,-0.4029763319805993,-0.16789109242636463,-0.15247052726866042,-0.16707630610115798,0.32334362756982055,0.11878457100764239,0.11444320565694144,0.07712569935175757,-0.03452898719677639,0.038729354800813146,0.19682034409392343,0.07530619295769063,-0.02455435019770971,0.3859588481567735,0.0404014150543069,0.10999368404794688
blocks,-0.06956789138936062,0.23992936321752528,0.44125917565718725,1.0,0.1670451704307288,0.14147425313572776,0.19669093115641748,0.6539719159772175,0.6049455911262797,0.15798231855766207,0.4475507502936832,0.2378609673484362,0.5229453542417503,0.06410351891933724,0.520071222082721,-0.03168244466487094,0.4605125902644476,0.5413996195796648,0.5214193483645634,0.5000229169116999,0.14289353208634423,0.19359793838784148,0.7496107173300937,0.48657769833707415,0.6331895275956322,0.22739560370112197,0.48272445060727215,0.48597954753115685,-0.03011575908517978,0.37567049410245645,-0.26267639303536483,0.1672407581717969,-0.04871232275032903,0.15018363003615662,0.2368410776669438,0.706175978380296,0.15366505832311397,-0.03498137374003153,0.45865905500144255,0.5688608579877902,0.1656124987602651,0.6192527443717257,0.038508073923328,0.30159254467029045,0.5675911544397877,0.18878478339205537
box_plus_minus,0.18807456278790932,0.1635182581955282,0.12260044762232192,0.1670451704307288,1.0,0.7496248386389086,0.1312764392813632,0.20956889797374242,0.24520424811506686,0.5039606481241339,0.1956043945904657,0.4304998797603871,0.21412210906060894,0.019969471870046503,0.19176774297743443,0.22095614356843296,0.19519993290485163,0.15394299912597598,0.187168358072263,0.19520904275584916,0.9148369423341941,0.0405377972597016,0.1794877548941925,0.28142744364912226,0.16813799849986172,0.6976345962700724,0.21284811289553562,0.2115272025160395,0.26432100826047683,0.19651478136568287,0.010958611739257022,0.15634408512518091,0.31092134417335004,0.16383520462971132,0.12010226654154894,0.2077455519966844,0.535100113840366,-0.2508355700220973,0.15542931385685244,0.18804405790387702,0.3331641184442938,0.20121313695874474,-0.01188477664813168,0.08326022234364949,0.28083884168247863,0.7094279403996078
defensive_box_plus_minus,0.1181350129857813,0.043153033824551816,0.22136621097474934,0.14147425313572776,0.7496248386389086,1.0,0.15988565806604046,0.0726493923595639,0.1591921678826425,0.2727219008792585,0.009395215080679857,0.2689222217053863,0.02447734146637687,0.057890716467559555,0.036468330663727004,-0.0028597070940775075,0.028652531601382217,0.06027723916557745,0.034522795161227755,0.04103887147913385,0.41858208654729356,-0.020040818529236545,0.0756448279103312,0.06559996975471186,0.07156740807301112,0.369643066894206,0.019210502461127904,0.026209077760387882,0.48524270591021634,0.09332632533226197,-0.08473118469281363,-0.027365241709810015,0.09956645101121565,-0.028120210926355117,0.10824255782664308,0.07614096209126653,0.2793894940726817,-0.005004894008832168,0.023332815049337895,0.0344091728657675,0.21302179412879244,0.04689274349726295,-0.18642422169679945,0.0917998440562521,0.11131905991595085,0.43553451043392627
defensive_rebound_percentage,-0.05744511364417967,-0.06665170062965847,0.2447792383695094,0.19669093115641748,0.1312764392813632,0.15988565806604046,1.0,0.17824777351299034,0.09121392148544548,0.10921266697785952,0.005714079723613043,0.20171816068862822,0.04399029978508526,0.1234890220862714,0.0669512549992624,-0.14626570400375713,0.042537632755388785,0.015398562400320878,0.03121858893725741,0.0017956478554144244,0.08265111891320595,0.2552755769869196,0.21182604510690722,0.06352076610365782,0.07027864232510396,0.2382710207490198,0.02526518409712915,0.026939606843251442,-0.06336684245456999,-0.019910645895968852,-0.2923223112967045,-0.10532337196320193,-0.0827511896502028,-0.1063432599334073,0.860586659765097,0.19479181563406026,0.09326247625924403,0.028148256084766957,0.019348863218736752,0.08487921639402868,0.16284533451816222,0.11233620150893735,0.10939942325847614,0.32559609543069395,0.07954482378146917,0.19160489398122557
defensive_rebounds,0.11100886371416986,0.6925235947465568,0.07616587617583631,0.6539719159772175,0.20956889797374242,0.0726493923595639,0.17824777351299034,1.0,0.9032169611321138,0.1492411195491435,0.8788896595695794,0.169334805762975,0.9090979964860589,0.000805690113254869,0.8714412427594235,0.13900857420170723,0.8450013239777001,0.8549263356852036,0.879657371553035,0.9117270747358535,0.24324370749454682,0.035955627067548304,0.8401937650631464,0.8061702861420212,0.8995398155797465,0.2549591870609551,0.8950450699992484,0.9036316998766295,0.013860633849286994,0.7929739448178669,-0.11223491136431638,0.6344115847846015,0.07762494992396393,0.6092939212296075,0.14233360163607953,0.9861192657875433,0.17356388196782027,-0.07971361233089644,0.8633089428305865,0.8961577053700044,0.11095615440735744,0.9002266311106816,0.14429443502926803,0.14770232172015083,0.8962852816158122,0.2214856114324229
defensive_win_shares,0.1596116083465843,0.745198036472726,0.06380277987507993,0.6049455911262797,0.24520424811506686,0.1591921678826425,0.09121392148544548,0.9032169611321138,1.0,0.13490557782538865,0.8495179592125417,0.14489075676348784,0.8675742700300464,-0.005712293325813848,0.8360375037979441,0.14808684746758502,0.8165046058883711,0.8356917283416851,0.8494756527003584,0.8925210376057596,0.2392921579476868,-0.008043873879598377,0.7383226307702557,0.7818188112910652,0.866281597255527,0.24102775015023645,0.860589505022063,0.8741201033791396,0.07610145566031509,0.8640223628365707,-0.07896430999917087,0.6398826604272342,0.08762257709532911,0.6141054671265097,0.05969892370783854,0.884401751909591,0.1607463057969537,-0.07121214940898168,0.846286313056276,0.8468727506640582,0.09448707698413437,0.8425101581913836,0.12547887111799422,0.06414049911043031,0.9242173768041496,0.2544047192473875
effective_field_goal_percentage,0.012819199889190242,0.05735791560875037,0.14772805178193238,0.15798231855766207,0.5039606481241339,0.2727219008792585,0.10921266697785952,0.1492411195491435,0.13490557782538865,1.0,0.11050730981657242,0.9335800480065312,0.15325965546895556,0.033587871367771055,0.11302664211943297,0.00987836735469248,0.10413452963758159,0.12389480940958596,0.12294153448926372,0.12646743940633245,0.5313575511584913,0.09821136161494386,0.1633608611084352,0.22816116918269055,0.141965399978505,0.6897255879722566,0.14270156243069235,0.13493783042337926,-0.027666511040324825,0.08522871593358185,-0.12431821725960551,0.07201960953585435,0.5915217455900218,0.09768147001001687,0.13169379822920713,0.1589041275004004,0.9561285447997878,-0.03073072391697571,0.09461289355273175,0.11802091580860226,0.7369985338831619,0.15395976203219208,-0.056544043091698824,0.1540571549059378,0.19959260790766584,0.6663881087194278
